Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
IL10	6	NR1I3	4	1	1.02E-01	5.27E-01
IL10	6	NUDT19	7	1	1.72E-01	5.33E-01
IL10	6	OR4C45	8	1	1.95E-01	5.33E-01
IL10	6	OR4K17	12	2	3.39E-02	5.27E-01
IL10	6	OR51B5	9	1	2.17E-01	5.33E-01
IL10	6	OR5J2	10	1	2.38E-01	5.33E-01
IL10	6	POU3F3	8	1	1.95E-01	5.33E-01
IL10	6	PTEN	13	1	3.00E-01	5.52E-01
IL10	6	PTPRH	14	1	3.19E-01	5.58E-01
IL10	6	RB1	135	4	1.00E+00	1.00E+00
IL10	6	SCGB1D1	3	1	7.72E-02	5.27E-01
IL10	6	SELP	15	1	3.38E-01	5.63E-01
IL10	6	SIGLEC12	8	1	1.95E-01	5.33E-01
IL10	6	ST6GALNAC3	10	1	2.38E-01	5.33E-01
IL10	6	TCP10L2	7	1	1.72E-01	5.33E-01
IL10	6	TGM3	10	1	2.38E-01	5.33E-01
IL10	6	TMEM132D	50	1	1.00E+00	1.00E+00
IL10	6	TMEM215	4	1	1.02E-01	5.27E-01
IL10	6	TNNI2	3	1	7.72E-02	5.27E-01
IL10	6	TP53	197	4	1.89E-01	5.33E-01
IL10	6	UBE2NL	8	1	1.95E-01	5.33E-01
IL10	6	ZCCHC16	8	1	1.95E-01	5.33E-01
IL10	6	ZCCHC5	11	1	2.59E-01	5.35E-01
IL10	6	ZFP36L2	7	1	1.72E-01	5.33E-01
IL10	6	ZNF521	21	1	4.44E-01	6.14E-01
IL10	6	ZNF676	15	3	4.13E-03	4.96E-01
IQSEC3	9	KCNQ2	11	1	3.64E-01	5.77E-01
IQSEC3	9	KIAA1211	28	1	1.00E+00	1.00E+00
IQSEC3	9	KLRG1	7	1	2.49E-01	5.33E-01
IQSEC3	9	LILRB2	14	1	4.41E-01	6.14E-01
IQSEC3	9	LPPR4	16	1	4.87E-01	6.38E-01
IQSEC3	9	LRP1B	87	5	3.08E-01	5.52E-01
IQSEC3	9	LRRC7	36	3	1.54E-01	5.27E-01
IQSEC3	9	MS4A14	13	1	4.16E-01	5.98E-01
IQSEC3	9	NAV3	56	2	1.00E+00	1.00E+00
IQSEC3	9	NLRP14	19	2	1.67E-01	5.29E-01
IQSEC3	9	NOS1	19	1	5.50E-01	6.79E-01
IQSEC3	9	OR10J1	12	1	3.91E-01	5.86E-01
IQSEC3	9	OR11G2	7	1	2.49E-01	5.33E-01
IQSEC3	9	OR51B5	9	1	3.09E-01	5.53E-01
IQSEC3	9	OR5J2	10	1	3.37E-01	5.63E-01
IQSEC3	9	OR8H2	8	1	2.79E-01	5.43E-01
IQSEC3	9	P2RX6	5	1	1.84E-01	5.33E-01
IQSEC3	9	PEG3	21	2	1.96E-01	5.33E-01
IQSEC3	9	PGRMC1	5	1	1.84E-01	5.33E-01
IQSEC3	9	PRDM12	5	1	1.84E-01	5.33E-01
IQSEC3	9	PROL1	7	3	1.39E-03	4.78E-01
IQSEC3	9	PRR23C	6	1	2.17E-01	5.33E-01
IQSEC3	9	PTPRH	14	1	4.41E-01	6.14E-01
IQSEC3	9	RB1	135	7	3.16E-01	5.58E-01
IQSEC3	9	RPL37	2	1	7.76E-02	5.27E-01
IQSEC3	9	SAMD1	15	1	4.64E-01	6.24E-01
IQSEC3	9	SELL	9	1	3.09E-01	5.53E-01
IQSEC3	9	SELP	15	1	4.64E-01	6.24E-01
IQSEC3	9	SGCZ	13	2	8.62E-02	5.27E-01
IQSEC3	9	SIGLEC12	8	1	2.79E-01	5.43E-01
IQSEC3	9	SLC4A10	18	1	5.30E-01	6.68E-01
IQSEC3	9	SNCB	5	1	1.84E-01	5.33E-01
IQSEC3	9	SPHKAP	39	2	6.53E-01	7.66E-01
IQSEC3	9	SRMS	5	2	1.31E-02	5.27E-01
IQSEC3	9	ST6GALNAC3	10	1	3.37E-01	5.63E-01
IQSEC3	9	THAP1	4	1	1.50E-01	5.27E-01
IQSEC3	9	TKTL2	21	1	5.88E-01	7.11E-01
IQSEC3	9	TMEM132D	50	2	1.00E+00	1.00E+00
IQSEC3	9	TMEM134	2	1	7.76E-02	5.27E-01
IQSEC3	9	TMEM155	2	1	7.76E-02	5.27E-01
IQSEC3	9	TP53	197	9	6.14E-01	7.33E-01
IQSEC3	9	ZNF521	21	1	5.88E-01	7.11E-01
IQSEC3	9	ZSCAN10	8	1	2.79E-01	5.43E-01
JPH2	10	KCNQ2	11	1	3.96E-01	5.88E-01
JPH2	10	KIAA1211	28	2	3.53E-01	5.71E-01
JPH2	10	LILRB2	14	1	4.76E-01	6.36E-01
JPH2	10	LPPR4	16	2	1.49E-01	5.27E-01
JPH2	10	LRP1B	87	7	4.60E-02	5.27E-01
JPH2	10	LRRC7	36	2	6.60E-01	7.74E-01
JPH2	10	MARCO	9	1	3.37E-01	5.63E-01
JPH2	10	MNDA	11	2	7.71E-02	5.27E-01
JPH2	10	MORC1	24	3	7.52E-02	5.27E-01
JPH2	10	NAV3	56	3	7.10E-01	8.15E-01
JPH2	10	NLRP14	19	1	5.89E-01	7.11E-01
JPH2	10	NOS1	19	2	1.98E-01	5.33E-01
JPH2	10	NPY1R	10	1	3.67E-01	5.78E-01
JPH2	10	OR10J1	12	1	4.24E-01	6.01E-01
JPH2	10	OR10K1	7	1	2.73E-01	5.43E-01
JPH2	10	OR10V1	5	1	2.03E-01	5.33E-01
JPH2	10	OR11G2	7	1	2.73E-01	5.43E-01
JPH2	10	OR2A14	6	1	2.38E-01	5.33E-01
JPH2	10	OR2G6	14	1	4.76E-01	6.36E-01
JPH2	10	OR2T2	8	1	3.06E-01	5.52E-01
JPH2	10	OR4C45	8	1	3.06E-01	5.52E-01
JPH2	10	OR4K17	12	3	1.09E-02	5.24E-01
JPH2	10	OR4N4	8	1	3.06E-01	5.52E-01
JPH2	10	OR51B5	9	1	3.37E-01	5.63E-01
JPH2	10	OR5M9	11	1	3.96E-01	5.88E-01
JPH2	10	OR6B1	7	1	2.73E-01	5.43E-01
JPH2	10	OR8B4	12	1	4.24E-01	6.01E-01
JPH2	10	OR8H2	8	1	3.06E-01	5.52E-01
JPH2	10	OR9Q2	8	1	3.06E-01	5.52E-01
JPH2	10	P2RX6	5	1	2.03E-01	5.33E-01
JPH2	10	PEG3	21	1	1.00E+00	1.00E+00
JPH2	10	POU3F3	8	2	4.22E-02	5.27E-01
JPH2	10	PTEN	13	2	1.04E-01	5.27E-01
JPH2	10	PTF1A	9	1	3.37E-01	5.63E-01
JPH2	10	PTPRH	14	1	4.76E-01	6.36E-01
JPH2	10	RB1	135	5	7.44E-01	8.49E-01
JPH2	10	RGS13	5	1	2.03E-01	5.33E-01
JPH2	10	RHAG	12	2	9.04E-02	5.27E-01
JPH2	10	SELL	9	1	3.37E-01	5.63E-01
JPH2	10	SGCZ	13	1	4.51E-01	6.16E-01
JPH2	10	SLC4A10	18	2	1.82E-01	5.33E-01
JPH2	10	SPHKAP	39	3	3.81E-01	5.84E-01
JPH2	10	STX11	4	1	1.65E-01	5.27E-01
JPH2	10	TCF23	4	1	1.65E-01	5.27E-01
JPH2	10	TGM3	10	1	3.67E-01	5.78E-01
JPH2	10	TMEM132D	50	2	1.00E+00	1.00E+00
JPH2	10	TMPRSS15	16	1	5.24E-01	6.64E-01
JPH2	10	TP53	197	9	1.00E+00	1.00E+00
JPH2	10	TPRA1	2	1	8.60E-02	5.27E-01
JPH2	10	TUBA3C	16	2	1.49E-01	5.27E-01
JPH2	10	UBE2NL	8	1	3.06E-01	5.52E-01
JPH2	10	WNT11	6	1	2.38E-01	5.33E-01
JPH2	10	ZCCHC16	8	1	3.06E-01	5.52E-01
JPH2	10	ZFP36L2	7	2	3.24E-02	5.27E-01
JPH2	10	ZNF521	21	1	1.00E+00	1.00E+00
JPH2	10	ZNF676	15	1	5.01E-01	6.48E-01
KCNJ12	10	KCNN2	13	2	1.04E-01	5.27E-01
KCNJ12	10	KIAA1211	28	1	1.00E+00	1.00E+00
KCNJ12	10	KLHL34	9	1	3.37E-01	5.63E-01
KCNJ12	10	KRTAP10-11	7	1	2.73E-01	5.43E-01
KCNJ12	10	KRTAP13-1	5	1	2.03E-01	5.33E-01
KCNJ12	10	LILRB2	14	4	1.54E-03	4.80E-01
KCNJ12	10	LPPR4	16	4	2.68E-03	4.87E-01
KCNJ12	10	LRP1B	87	6	1.87E-01	5.33E-01
KCNJ12	10	LRRC7	36	3	1.97E-01	5.33E-01
KCNJ12	10	MARCO	9	1	3.37E-01	5.63E-01
KCNJ12	10	MIA2	11	1	3.96E-01	5.88E-01
KCNJ12	10	MORC1	24	2	2.84E-01	5.47E-01
KCNJ12	10	MRGPRX4	8	1	3.06E-01	5.52E-01
KCNJ12	10	NAV3	56	3	7.10E-01	8.15E-01
KCNJ12	10	NOS1	19	1	5.89E-01	7.11E-01
KCNJ12	10	OR10C1	2	1	8.60E-02	5.27E-01
KCNJ12	10	OR10J1	12	2	9.04E-02	5.27E-01
KCNJ12	10	OR10V1	5	1	2.03E-01	5.33E-01
KCNJ12	10	OR2G6	14	3	1.72E-02	5.27E-01
KCNJ12	10	OR2T2	8	1	3.06E-01	5.52E-01
KCNJ12	10	OR4C45	8	1	3.06E-01	5.52E-01
KCNJ12	10	OR4K17	12	1	4.24E-01	6.01E-01
KCNJ12	10	OR4N4	8	1	3.06E-01	5.52E-01
KCNJ12	10	OR52E4	8	1	3.06E-01	5.52E-01
KCNJ12	10	OR5M9	11	1	3.96E-01	5.88E-01
KCNJ12	10	OR8H2	8	1	3.06E-01	5.52E-01
KCNJ12	10	PEG3	21	1	1.00E+00	1.00E+00
KCNJ12	10	PRDM12	5	1	2.03E-01	5.33E-01
KCNJ12	10	PRNP	1	1	4.39E-02	5.27E-01
KCNJ12	10	RB1	135	9	5.09E-02	5.27E-01
KCNJ12	10	REG1B	13	1	4.51E-01	6.16E-01
KCNJ12	10	RGS13	5	1	2.03E-01	5.33E-01
KCNJ12	10	SAMD1	15	2	1.34E-01	5.27E-01
KCNJ12	10	SELP	15	2	1.34E-01	5.27E-01
KCNJ12	10	SGCZ	13	1	4.51E-01	6.16E-01
KCNJ12	10	SIGLEC12	8	2	4.22E-02	5.27E-01
KCNJ12	10	SLC8A3	20	4	6.51E-03	4.96E-01
KCNJ12	10	SLC9A4	11	2	7.71E-02	5.27E-01
KCNJ12	10	SPHKAP	39	1	1.00E+00	1.00E+00
KCNJ12	10	SST	2	1	8.60E-02	5.27E-01
KCNJ12	10	TCF23	4	1	1.65E-01	5.27E-01
KCNJ12	10	TKTL2	21	1	1.00E+00	1.00E+00
KCNJ12	10	TMEM132D	50	3	4.60E-01	6.21E-01
KCNJ12	10	TMPRSS15	16	2	1.49E-01	5.27E-01
KCNJ12	10	TP53	197	10	3.65E-01	5.78E-01
KCNJ12	10	TUBA3C	16	1	5.24E-01	6.64E-01
KCNJ12	10	ZCCHC5	11	2	7.71E-02	5.27E-01
KCNJ12	10	ZFP36L2	7	1	2.73E-01	5.43E-01
KCNJ12	10	ZNF521	21	1	1.00E+00	1.00E+00
KCNN2	13	KIAA1211	28	1	1.00E+00	1.00E+00
KCNN2	13	KLHL34	9	1	4.16E-01	5.98E-01
KCNN2	13	LCE5A	4	1	2.11E-01	5.33E-01
KCNN2	13	LILRB2	14	3	3.67E-02	5.27E-01
KCNN2	13	LPPR4	16	1	1.00E+00	1.00E+00
KCNN2	13	LRFN5	25	1	1.00E+00	1.00E+00
KCNN2	13	LRP1B	87	5	1.00E+00	1.00E+00
KCNN2	13	LRRC7	36	3	4.37E-01	6.12E-01
KCNN2	13	MEOX1	4	1	2.11E-01	5.33E-01
KCNN2	13	MMP24	6	1	3.00E-01	5.52E-01
KCNN2	13	MORC1	24	2	6.33E-01	7.50E-01
KCNN2	13	MS4A14	13	2	1.64E-01	5.27E-01
KCNN2	13	MYBPC1	13	1	5.44E-01	6.77E-01
KCNN2	13	NAV3	56	5	3.16E-01	5.58E-01
KCNN2	13	NLRP14	19	1	1.00E+00	1.00E+00
KCNN2	13	NOS1	19	1	1.00E+00	1.00E+00
KCNN2	13	OR10J1	12	2	1.43E-01	5.27E-01
KCNN2	13	OR2A14	6	1	3.00E-01	5.52E-01
KCNN2	13	OR2G6	14	2	1.85E-01	5.33E-01
KCNN2	13	OR2T2	8	1	3.80E-01	5.82E-01
KCNN2	13	OR4C45	8	1	3.80E-01	5.82E-01
KCNN2	13	OR4N4	8	1	3.80E-01	5.82E-01
KCNN2	13	OR51B5	9	1	4.16E-01	5.98E-01
KCNN2	13	OR5M9	11	2	1.23E-01	5.27E-01
KCNN2	13	PEG3	21	2	3.41E-01	5.63E-01
KCNN2	13	RAET1E	2	1	1.11E-01	5.27E-01
KCNN2	13	RB1	135	8	1.00E+00	1.00E+00
KCNN2	13	REG1B	13	1	5.44E-01	6.77E-01
KCNN2	13	RGS13	5	2	2.73E-02	5.27E-01
KCNN2	13	RHAG	12	1	5.15E-01	6.54E-01
KCNN2	13	SAMD1	15	1	5.97E-01	7.17E-01
KCNN2	13	SCGB1D1	3	1	1.62E-01	5.27E-01
KCNN2	13	SELP	15	2	2.07E-01	5.33E-01
KCNN2	13	SIGLEC12	8	1	3.80E-01	5.82E-01
KCNN2	13	SLC8A3	20	3	9.35E-02	5.27E-01
KCNN2	13	SPHKAP	39	2	1.00E+00	1.00E+00
KCNN2	13	STX11	4	1	2.11E-01	5.33E-01
KCNN2	13	TCF21	4	1	2.11E-01	5.33E-01
KCNN2	13	TCF23	4	1	2.11E-01	5.33E-01
KCNN2	13	TGM3	10	1	4.51E-01	6.16E-01
KCNN2	13	TKTL2	21	3	1.05E-01	5.27E-01
KCNN2	13	TMEM132D	50	4	4.89E-01	6.39E-01
KCNN2	13	TMPRSS15	16	3	5.27E-02	5.27E-01
KCNN2	13	TP53	197	10	3.94E-01	5.88E-01
KCNN2	13	TUBA3C	16	2	2.29E-01	5.33E-01
KCNN2	13	UBE2NL	8	1	3.80E-01	5.82E-01
KCNN2	13	UNC93A	8	2	6.93E-02	5.27E-01
KCNN2	13	ZCCHC16	8	1	3.80E-01	5.82E-01
KCNN2	13	ZCCHC5	11	1	4.84E-01	6.38E-01
KCNN2	13	ZNF521	21	1	1.00E+00	1.00E+00
KCNN2	13	ZSCAN10	8	1	3.80E-01	5.82E-01
KCNQ2	11	KIAA1211	28	3	1.39E-01	5.27E-01
KCNQ2	11	KLHL34	9	2	6.34E-02	5.27E-01
KCNQ2	11	KLRG1	7	1	2.96E-01	5.52E-01
KCNQ2	11	KRTAP2-2	5	1	2.21E-01	5.33E-01
KCNQ2	11	LPPR4	16	1	5.59E-01	6.88E-01
KCNQ2	11	LRFN5	25	1	1.00E+00	1.00E+00
KCNQ2	11	LRP1B	87	7	1.09E-01	5.27E-01
KCNQ2	11	LRRC7	36	2	6.86E-01	7.99E-01
KCNQ2	11	MBLAC1	3	1	1.38E-01	5.27E-01
KCNQ2	11	MNDA	11	1	4.27E-01	6.03E-01
KCNQ2	11	MORC1	24	2	3.26E-01	5.63E-01
KCNQ2	11	MRGPRX4	8	2	5.06E-02	5.27E-01
KCNQ2	11	MYBPC1	13	1	4.84E-01	6.38E-01
KCNQ2	11	NAV3	56	5	1.44E-01	5.27E-01
KCNQ2	11	NLRP14	19	1	1.00E+00	1.00E+00
KCNQ2	11	NOS1	19	3	5.29E-02	5.27E-01
KCNQ2	11	OR10J1	12	1	4.56E-01	6.18E-01
KCNQ2	11	OR10K1	7	1	2.96E-01	5.52E-01
KCNQ2	11	OR11G2	7	1	2.96E-01	5.52E-01
KCNQ2	11	OR2C3	13	1	4.84E-01	6.38E-01
KCNQ2	11	OR2G6	14	2	1.40E-01	5.27E-01
KCNQ2	11	OR4C45	8	1	3.31E-01	5.63E-01
KCNQ2	11	OR4K17	12	1	4.56E-01	6.18E-01
KCNQ2	11	OR5M9	11	2	9.18E-02	5.27E-01
KCNQ2	11	OR6B1	7	1	2.96E-01	5.52E-01
KCNQ2	11	OR8H2	8	1	3.31E-01	5.63E-01
KCNQ2	11	P2RX6	5	2	1.96E-02	5.27E-01
KCNQ2	11	PEG3	21	3	6.87E-02	5.27E-01
KCNQ2	11	POU3F3	8	2	5.06E-02	5.27E-01
KCNQ2	11	PROL1	7	1	2.96E-01	5.52E-01
KCNQ2	11	PRR23C	6	2	2.86E-02	5.27E-01
KCNQ2	11	RB1	135	4	1.28E-01	5.27E-01
KCNQ2	11	RD3	3	1	1.38E-01	5.27E-01
KCNQ2	11	REG1B	13	1	4.84E-01	6.38E-01
KCNQ2	11	RGS13	5	1	2.21E-01	5.33E-01
KCNQ2	11	RHAG	12	1	4.56E-01	6.18E-01
KCNQ2	11	RNGTT	5	1	2.21E-01	5.33E-01
KCNQ2	11	SLC4A10	18	2	2.12E-01	5.33E-01
KCNQ2	11	SLC8A3	20	1	1.00E+00	1.00E+00
KCNQ2	11	SNCB	5	1	2.21E-01	5.33E-01
KCNQ2	11	SPHKAP	39	2	1.00E+00	1.00E+00
KCNQ2	11	SRMS	5	1	2.21E-01	5.33E-01
KCNQ2	11	ST6GALNAC3	10	2	7.71E-02	5.27E-01
KCNQ2	11	STX11	4	1	1.81E-01	5.33E-01
KCNQ2	11	TGM3	10	1	3.96E-01	5.88E-01
KCNQ2	11	TKTL2	21	3	6.87E-02	5.27E-01
KCNQ2	11	TMEM132D	50	1	4.63E-01	6.24E-01
KCNQ2	11	TP53	197	11	3.68E-01	5.79E-01
KCNQ2	11	TUBA3C	16	1	5.59E-01	6.88E-01
KCNQ2	11	UNC93A	8	1	3.31E-01	5.63E-01
KCNQ2	11	ZCCHC16	8	2	5.06E-02	5.27E-01
KCNQ2	11	ZFP36L2	7	2	3.90E-02	5.27E-01
KCNQ2	11	ZNF521	21	1	1.00E+00	1.00E+00
KCNQ2	11	ZNF676	15	1	5.35E-01	6.72E-01
KCNQ2	11	ZSCAN10	8	1	3.31E-01	5.63E-01
KIAA1211	28	KLHL34	9	1	1.00E+00	1.00E+00
KIAA1211	28	KLRG1	7	1	1.00E+00	1.00E+00
KIAA1211	28	KRTAP13-1	5	2	1.15E-01	5.27E-01
KIAA1211	28	KRTAP2-2	5	2	1.15E-01	5.27E-01
KIAA1211	28	LCE5A	4	1	4.10E-01	5.93E-01
KIAA1211	28	LELP1	4	1	4.10E-01	5.93E-01
KIAA1211	28	LILRB2	14	2	6.84E-01	7.97E-01
KIAA1211	28	LPPR4	16	5	3.24E-02	5.27E-01
KIAA1211	28	LRFN5	25	3	1.00E+00	1.00E+00
KIAA1211	28	LRP1B	87	19	7.92E-04	3.45E-01
KIAA1211	28	LRRC7	36	8	5.64E-02	5.27E-01
KIAA1211	28	MARCO	9	1	1.00E+00	1.00E+00
KIAA1211	28	MIA2	11	2	6.30E-01	7.46E-01
KIAA1211	28	MMP24	6	1	5.49E-01	6.79E-01
KIAA1211	28	MNDA	11	2	6.30E-01	7.46E-01
KIAA1211	28	MORC1	24	5	1.89E-01	5.33E-01
KIAA1211	28	MRGPRX4	8	2	2.56E-01	5.33E-01
KIAA1211	28	MS4A14	13	3	2.04E-01	5.33E-01
KIAA1211	28	MYBPC1	13	2	6.65E-01	7.78E-01
KIAA1211	28	NAV3	56	10	1.61E-01	5.27E-01
KIAA1211	28	NCBP2	2	1	2.31E-01	5.33E-01
KIAA1211	28	NLRP14	19	3	7.12E-01	8.16E-01
KIAA1211	28	NOS1	19	2	1.00E+00	1.00E+00
KIAA1211	28	NPY1R	10	1	1.00E+00	1.00E+00
KIAA1211	28	NR1I3	4	1	4.10E-01	5.93E-01
KIAA1211	28	OR10J1	12	3	1.71E-01	5.33E-01
KIAA1211	28	OR10K1	7	1	1.00E+00	1.00E+00
KIAA1211	28	OR10V1	5	2	1.15E-01	5.27E-01
KIAA1211	28	OR11G2	7	2	2.07E-01	5.33E-01
KIAA1211	28	OR2A14	6	1	5.49E-01	6.79E-01
KIAA1211	28	OR2C3	13	4	5.97E-02	5.27E-01
KIAA1211	28	OR2G6	14	3	3.89E-01	5.86E-01
KIAA1211	28	OR2T2	8	1	1.00E+00	1.00E+00
KIAA1211	28	OR4C45	8	2	2.56E-01	5.33E-01
KIAA1211	28	OR4K17	12	1	1.00E+00	1.00E+00
KIAA1211	28	OR51B5	9	2	3.05E-01	5.52E-01
KIAA1211	28	OR52E4	8	2	2.56E-01	5.33E-01
KIAA1211	28	OR52K1	10	3	1.10E-01	5.27E-01
KIAA1211	28	OR5J2	10	2	3.53E-01	5.71E-01
KIAA1211	28	OR5M1	4	3	6.16E-03	4.96E-01
KIAA1211	28	OR5M11	7	1	1.00E+00	1.00E+00
KIAA1211	28	OR5M9	11	4	3.29E-02	5.27E-01
KIAA1211	28	OR6B1	7	1	1.00E+00	1.00E+00
KIAA1211	28	OR8B4	12	2	6.46E-01	7.61E-01
KIAA1211	28	OR9Q2	8	2	2.56E-01	5.33E-01
KIAA1211	28	PEG3	21	4	3.02E-01	5.52E-01
KIAA1211	28	PLSCR2	4	1	4.10E-01	5.93E-01
KIAA1211	28	POU3F3	8	1	1.00E+00	1.00E+00
KIAA1211	28	PRND	2	1	2.31E-01	5.33E-01
KIAA1211	28	PRR23C	6	1	5.49E-01	6.79E-01
KIAA1211	28	PTEN	13	1	1.00E+00	1.00E+00
KIAA1211	28	PTF1A	9	1	1.00E+00	1.00E+00
KIAA1211	28	PTPRH	14	4	7.65E-02	5.27E-01
KIAA1211	28	RB1	135	18	6.82E-01	7.95E-01
KIAA1211	28	RD3	3	2	4.05E-02	5.27E-01
KIAA1211	28	REG1B	13	4	5.97E-02	5.27E-01
KIAA1211	28	RHAG	12	3	1.71E-01	5.33E-01
KIAA1211	28	RNGTT	5	1	4.84E-01	6.38E-01
KIAA1211	28	RPL37	2	1	2.31E-01	5.33E-01
KIAA1211	28	SAMD1	15	4	9.54E-02	5.27E-01
KIAA1211	28	SELP	15	3	4.05E-01	5.93E-01
KIAA1211	28	SGCZ	13	4	5.97E-02	5.27E-01
KIAA1211	28	SIGLEC12	8	1	1.00E+00	1.00E+00
KIAA1211	28	SLC4A10	18	4	2.50E-01	5.33E-01
KIAA1211	28	SLC8A3	20	3	7.20E-01	8.24E-01
KIAA1211	28	SLC9A4	11	3	1.39E-01	5.27E-01
KIAA1211	28	SNCB	5	1	4.84E-01	6.38E-01
KIAA1211	28	SPHKAP	39	4	7.94E-01	9.02E-01
KIAA1211	28	TBCA	1	1	1.23E-01	5.27E-01
KIAA1211	28	TCF23	4	1	4.10E-01	5.93E-01
KIAA1211	28	TCP10L2	7	4	4.99E-03	4.96E-01
KIAA1211	28	TGM3	10	4	2.29E-02	5.27E-01
KIAA1211	28	THAP1	4	2	7.48E-02	5.27E-01
KIAA1211	28	TKTL2	21	2	1.00E+00	1.00E+00
KIAA1211	28	TMEM132D	50	8	3.41E-01	5.63E-01
KIAA1211	28	TMEM215	4	1	4.10E-01	5.93E-01
KIAA1211	28	TMPRSS15	16	2	1.00E+00	1.00E+00
KIAA1211	28	TP53	197	26	3.87E-01	5.85E-01
KIAA1211	28	TPD52	3	1	3.26E-01	5.63E-01
KIAA1211	28	TRIM63	8	2	2.56E-01	5.33E-01
KIAA1211	28	UNC93A	8	2	2.56E-01	5.33E-01
KIAA1211	28	WNT11	6	1	5.49E-01	6.79E-01
KIAA1211	28	ZCCHC5	11	2	6.30E-01	7.46E-01
KIAA1211	28	ZFP36L2	7	2	2.07E-01	5.33E-01
KIAA1211	28	ZNF521	21	4	3.02E-01	5.52E-01
KIAA1211	28	ZNF676	15	5	2.44E-02	5.27E-01
KLHL34	9	KLRG1	7	1	2.49E-01	5.33E-01
KLHL34	9	KRTAP10-11	7	1	2.49E-01	5.33E-01
KLHL34	9	KRTAP13-1	5	1	1.84E-01	5.33E-01
KLHL34	9	LCE5A	4	1	1.50E-01	5.27E-01
KLHL34	9	LILRB2	14	1	4.41E-01	6.14E-01
KLHL34	9	LRFN5	25	2	2.58E-01	5.35E-01
KLHL34	9	LRP1B	87	6	8.80E-02	5.27E-01
KLHL34	9	MNDA	11	1	3.64E-01	5.77E-01
KLHL34	9	MORC1	24	2	2.42E-01	5.33E-01
KLHL34	9	MRGPRX4	8	1	2.79E-01	5.43E-01
KLHL34	9	MYBPC1	13	2	8.62E-02	5.27E-01
KLHL34	9	NAV3	56	1	4.59E-01	6.21E-01
KLHL34	9	NOS1	19	2	1.67E-01	5.29E-01
KLHL34	9	OR10J1	12	1	3.91E-01	5.86E-01
KLHL34	9	OR2G6	14	1	4.41E-01	6.14E-01
KLHL34	9	OR4C45	8	1	2.79E-01	5.43E-01
KLHL34	9	OR4K17	12	2	7.45E-02	5.27E-01
KLHL34	9	OR52E4	8	1	2.79E-01	5.43E-01
KLHL34	9	OR5J2	10	1	3.37E-01	5.63E-01
KLHL34	9	OR5M9	11	1	3.64E-01	5.77E-01
KLHL34	9	OR8H2	8	2	3.44E-02	5.27E-01
KLHL34	9	OR9Q2	8	1	2.79E-01	5.43E-01
KLHL34	9	PEG3	21	1	5.88E-01	7.11E-01
KLHL34	9	POU3F3	8	1	2.79E-01	5.43E-01
KLHL34	9	PRR23C	6	1	2.17E-01	5.33E-01
KLHL34	9	PTEN	13	1	4.16E-01	5.98E-01
KLHL34	9	RAET1E	2	1	7.76E-02	5.27E-01
KLHL34	9	RB1	135	6	7.41E-01	8.46E-01
KLHL34	9	REG1B	13	1	4.16E-01	5.98E-01
KLHL34	9	RGS13	5	1	1.84E-01	5.33E-01
KLHL34	9	RNGTT	5	1	1.84E-01	5.33E-01
KLHL34	9	SAMD1	15	1	4.64E-01	6.24E-01
KLHL34	9	SELP	15	1	4.64E-01	6.24E-01
KLHL34	9	SIGLEC12	8	1	2.79E-01	5.43E-01
KLHL34	9	SNCB	5	1	1.84E-01	5.33E-01
KLHL34	9	SPHKAP	39	1	1.00E+00	1.00E+00
KLHL34	9	SST	2	1	7.76E-02	5.27E-01
KLHL34	9	ST6GALNAC3	10	1	3.37E-01	5.63E-01
KLHL34	9	TKTL2	21	1	5.88E-01	7.11E-01
KLHL34	9	TMEM132D	50	1	6.88E-01	7.99E-01
KLHL34	9	TMEM215	4	1	1.50E-01	5.27E-01
KLHL34	9	TMPRSS15	16	1	4.87E-01	6.38E-01
KLHL34	9	TP53	197	9	6.14E-01	7.33E-01
KLHL34	9	TUBA3C	16	1	4.87E-01	6.38E-01
KLHL34	9	UBE2NL	8	2	3.44E-02	5.27E-01
KLHL34	9	UNC93A	8	1	2.79E-01	5.43E-01
KLHL34	9	WNT11	6	1	2.17E-01	5.33E-01
KLHL34	9	ZNF521	21	2	1.96E-01	5.33E-01
KLHL34	9	ZNF676	15	1	4.64E-01	6.24E-01
KLRG1	7	LILRB2	14	1	3.62E-01	5.76E-01
KLRG1	7	LRP1B	87	2	7.11E-01	8.16E-01
KLRG1	7	LRRC7	36	1	1.00E+00	1.00E+00
KLRG1	7	MARCO	9	1	2.49E-01	5.33E-01
KLRG1	7	MNDA	11	1	2.96E-01	5.52E-01
KLRG1	7	NAV3	56	3	3.67E-01	5.78E-01
KLRG1	7	NLRP14	19	1	4.61E-01	6.21E-01
KLRG1	7	NTNG2	8	1	2.24E-01	5.33E-01
KLRG1	7	OR10J1	12	1	3.19E-01	5.58E-01
KLRG1	7	OR2C3	13	1	3.41E-01	5.63E-01
KLRG1	7	OR2J2	4	1	1.18E-01	5.27E-01
KLRG1	7	OR52E4	8	1	2.24E-01	5.33E-01
KLRG1	7	PEG3	21	1	4.96E-01	6.45E-01
KLRG1	7	POU3F3	8	1	2.24E-01	5.33E-01
KLRG1	7	PROL1	7	1	1.98E-01	5.33E-01
KLRG1	7	PTEN	13	1	3.41E-01	5.63E-01
KLRG1	7	RB1	135	5	7.03E-01	8.09E-01
